what is the opposite of buy	sell
the antonym of give	take
what is the opposite of man	woman
what is the opposite of queen	king
what is the opposite of east	west
the opposite of up	down
the antonym of up	down
what is the opposite of woman	man
the opposite of king	queen
the opposite of north	south
the opposite of pull	push
the antonym of pull	push
what is the opposite of take	give
what is the opposite of push	pull
the antonym of lose	win
the opposite of night	day
the antonym of push	pull
the antonym of night	day
the opposite of love	hate
what is the opposite of night	day
the opposite of lose	win
what is the opposite of love	hate
the opposite of peace	war
the antonym of peace	war
the opposite of woman	man
the opposite of buy	sell
the antonym of hate	love
what is the opposite of peace	war
the antonym of woman	man
the antonym of down	up
the opposite of war	peace
the antonym of right	left
the antonym of queen	king
the antonym of love	hate
the opposite of win	lose
what is the opposite of up	down
the opposite of shut	open
the antonym of north	south
what is the opposite of lose	win
the opposite of give	take
what is the opposite of open	shut
the antonym of day	night
the opposite of day	night
what is the opposite of north	south
the opposite of take	give
what is the opposite of day	night
the antonym of king	queen
the antonym of buy	sell
the opposite of down	up
the antonym of man	woman
the antonym of take	give
what is the opposite of shut	open
what is the opposite of war	peace
the opposite of west	east
the antonym of shut	open
what is the opposite of down	up
the opposite of push	pull
the antonym of left	right
the opposite of open	shut
the antonym of sell	buy
the opposite of man	woman
the antonym of open	shut
what is the opposite of left	right
what is the opposite of win	lose
the antonym of west	east
the opposite of sell	buy
what is the opposite of south	north
what is the opposite of pull	push
what is the opposite of west	east
what is the opposite of sell	buy
what is the opposite of hate	love
what is the opposite of right	left
the opposite of hate	love
the opposite of right	left
the antonym of bottom	top
what is the opposite of king	queen
what is the opposite of back	front
what is the opposite of question	answer
the antonym of boy	girl
what is the opposite of front	back
what is the opposite of boy	girl
what is the opposite of top	bottom
the opposite of top	bottom
the antonym of top	bottom
the opposite of girl	boy
what is the opposite of bottom	top
what is the opposite of give	take
the antonym of east	west
the antonym of back	front
the opposite of back	front
the opposite of question	answer
the opposite of queen	king
the antonym of answer	question
the opposite of left	right
the antonym of war	peace
the opposite of front	back
the opposite of east	west
what is the opposite of answer	question
the antonym of question	answer
the antonym of girl	boy
the opposite of boy	girl
the antonym of win	lose
the opposite of answer	question
the opposite of bottom	top
what is the opposite of rise	fall
the antonym of front	back
what is the opposite of friend	enemy
the opposite of rise	fall
what is the opposite of girl	boy
the opposite of arrive	depart
what is the opposite of arrive	depart
what is the opposite of reject	accept
the antonym of arrive	depart
the opposite of south	north
the antonym of fall	rise
the opposite of depart	arrive
the antonym of accept	reject
what is the opposite of depart	arrive
the antonym of depart	arrive
the opposite of accept	reject
what is the opposite of enemy	friend
the antonym of rise	fall
the antonym of reject	accept
the antonym of south	north
what is the opposite of accept	reject
the antonym of enemy	friend
