the trait of otter is	river
otter goes with	river
otter pairs with	river
describe otter	river
the trait of walrus is	tusks
walrus goes with	tusks
walrus pairs with	tusks
describe walrus	tusks
the trait of badger is	stripes
badger goes with	stripes
badger pairs with	stripes
describe badger	stripes
the trait of heron is	marsh
heron goes with	marsh
heron pairs with	marsh
describe heron	marsh
the trait of marten is	branches
marten goes with	branches
marten pairs with	branches
describe marten	branches
the trait of lynx is	tufts
lynx goes with	tufts
lynx pairs with	tufts
describe lynx	tufts
the trait of raven is	wit
raven goes with	wit
raven pairs with	wit
describe raven	wit
the trait of finch is	seeds
finch goes with	seeds
finch pairs with	seeds
describe finch	seeds
the trait of perch is	scales
perch goes with	scales
perch pairs with	scales
describe perch	scales
the trait of gecko is	grip
gecko goes with	grip
gecko pairs with	grip
describe gecko	grip
the trait of newt is	ponds
newt goes with	ponds
newt pairs with	ponds
describe newt	ponds
the trait of toad is	warts
toad goes with	warts
toad pairs with	warts
describe toad	warts
the trait of hare is	speed
hare goes with	speed
hare pairs with	speed
describe hare	speed
the trait of mole is	tunnels
mole goes with	tunnels
mole pairs with	tunnels
describe mole	tunnels
the trait of vole is	grass
vole goes with	grass
vole pairs with	grass
describe vole	grass
the trait of stoat is	ermine
stoat goes with	ermine
stoat pairs with	ermine
describe stoat	ermine
the trait of weasel is	cunning
weasel goes with	cunning
weasel pairs with	cunning
describe weasel	cunning
the trait of ferret is	burrow
ferret goes with	burrow
ferret pairs with	burrow
describe ferret	burrow
the trait of beaver is	dam
beaver goes with	dam
beaver pairs with	dam
describe beaver	dam
the trait of marmot is	whistle
marmot goes with	whistle
marmot pairs with	whistle
describe marmot	whistle
the trait of bison is	horns
bison goes with	horns
bison pairs with	horns
describe bison	horns
the trait of moose is	antlers
moose goes with	antlers
moose pairs with	antlers
describe moose	antlers
the trait of quail is	covey
quail goes with	covey
quail pairs with	covey
describe quail	covey
the trait of crane is	grace
crane goes with	grace
crane pairs with	grace
describe crane	grace
