i have a cat named Felix. what is my cat's name?	Felix
i'm going to Paris tomorrow. where am i going?	Paris
my favourite food is pizza. what do i like to eat?	pizza
my brother is called Tom. what is my brother's name?	Tom
i work as a teacher. what is my job?	a teacher
i have two dogs. how many dogs do i have?	two
my car is red. what colour is my car?	red
i was born in June. which month was i born?	June
my best friend is Zoe. who is my best friend?	Zoe
i live in London. where do i live?	London
i'm 25 years old. how old am i?	25
i have a meeting at 3. what time is my meeting?	3
my password hint is the sky. what is my hint?	the sky
i ordered a coffee. what did i order?	a coffee
