odd one out: cat dog apple	apple, the others are animals
odd one out: red blue seven	seven, the others are colours
odd one out: apple banana carrot	carrot, the others are fruit
odd one out: 2 4 5 6	5, the others are even
odd one out: dog cat car fish	car, the others are animals
odd one out: rose tulip oak	oak, the others are flowers
odd one out: one two red three	red, the others are numbers
odd one out: circle square dog	dog, the others are shapes
odd one out: run jump table	table, the others are actions
odd one out: 10 20 25 30	25, the others end in zero
odd one out: sun moon car star	car, the others are in the sky
odd one out: blue green happy	happy, the others are colours
